s,mean,sd,low,high
0,37,2,33,42
1,31,4,19,40
2,25,5,14,35
3,21,5,11,34
4,22,5,13,40
5,17,4,9,30
6,17,5,9,32
7,15,4,7,26
8,14,4,7,25
9,12,3,7,22
10,11,4,5,23
11,11,4,5,22
12,11,3,6,21
13,11,3,5,22
14,10,2,6,18
15,9,3,5,20
16,10,2,5,14
17,9,3,4,20
18,8,2,4,14
19,8,3,4,18
20,8,2,3,17
21,7,2,3,15
22,7,2,4,15
23,7,2,4,14
24,8,2,3,14
25,6,1,3,10
26,6,2,3,11
27,7,2,3,14
28,6,2,3,11
29,5,2,3,12
30,6,1,3,11
31,5,1,2,9
32,5,2,2,13
33,5,2,3,12
34,5,1,3,9
35,5,2,2,10
36,5,1,2,10
37,4,1,2,7
38,5,1,2,9
39,5,1,2,12
40,5,1,2,8
41,4,1,2,10
42,4,1,2,9
43,4,1,2,7
44,4,1,2,8
45,4,1,2,8
46,4,1,2,8
47,4,1,2,10
48,4,1,2,8
49,4,1,2,13
50,4,1,2,11
52,4,1,2,7
54,4,1,2,7
56,3,1,2,6
58,3,1,2,6
60,3,1,2,7
62,3,1,1,7
64,3,1,2,6
66,4,1,2,7
68,3,0,1,6
70,3,0,1,5
72,3,0,1,5
74,3,0,1,5
76,3,0,1,5
78,3,1,1,6
80,3,1,1,6
82,3,1,1,6
84,3,0,1,4
86,3,0,1,6
88,3,0,1,6
90,3,0,1,5
92,3,0,1,4
94,2,1,1,5
96,2,1,1,7
98,2,1,1,7
100,2,1,1,5
110,2,0,1,5
120,2,0,1,4
130,2,0,1,3
140,2,0,1,3
150,2,0,1,3
160,2,0,1,3
170,2,0,1,4
180,2,0,1,3
190,2,0,1,4
200,2,0,1,3
250,1,0,1,3
300,1,0,1,3
350,1,0,1,2
400,1,0,1,2
450,1,0,1,2
500,1,0,1,2
600,1,0,1,2
700,1,0,1,1
800,1,0,1,1
900,1,0,1,1
1000,1,0,1,2
2000,1,0,1,1
3000,1,0,1,2
4000,1,0,1,1
5000,1,0,1,2
6000,1,0,1,1
7000,1,0,1,1
8000,1,0,1,1
9000,1,0,1,1
10000,1,0,1,1
