s,mean,sd,low,high
0,38,2,35,47
1,33,5,21,42
2,27,5,16,37
3,25,5,11,37
4,22,6,12,40
5,19,6,7,42
6,18,5,9,33
7,16,4,6,28
8,14,3,7,23
9,13,5,5,28
10,11,3,6,21
11,12,3,5,19
12,12,3,7,21
13,10,3,5,19
14,10,4,5,23
15,9,2,3,16
16,10,3,4,19
17,8,2,5,15
18,9,2,4,16
19,8,2,5,16
20,7,2,4,18
21,8,3,3,17
22,7,2,3,13
23,7,2,3,15
24,7,2,4,14
25,7,2,3,15
26,6,1,2,9
27,6,2,3,12
28,5,2,3,11
29,6,1,3,10
30,6,2,3,13
31,6,1,3,11
32,6,2,3,14
33,6,1,2,12
34,6,2,2,11
35,6,1,3,10
36,6,2,3,11
37,6,2,3,11
38,5,2,2,12
39,5,1,3,9
40,5,1,2,10
41,5,1,2,9
42,4,1,2,9
43,5,1,2,8
44,4,1,2,9
45,4,1,2,10
46,4,1,2,8
47,4,1,2,9
48,4,1,2,10
49,5,1,3,11
50,4,1,2,9
52,3,1,2,6
54,3,1,2,5
56,3,1,2,7
58,4,1,2,8
60,3,1,2,6
62,3,1,1,8
64,3,0,2,6
66,3,0,1,5
68,3,1,2,6
70,3,1,2,6
72,3,1,2,6
74,3,1,1,6
76,3,0,2,5
78,3,0,1,5
80,3,1,2,7
82,3,0,2,5
84,3,0,1,6
86,2,1,1,5
88,3,0,1,7
90,2,1,1,5
92,2,1,1,5
94,2,0,1,4
96,2,1,1,4
98,2,0,1,4
100,2,1,1,5
110,2,1,1,4
120,2,1,1,5
130,2,0,1,4
140,2,0,1,3
150,2,0,1,3
160,2,0,1,3
170,2,0,1,3
180,2,0,1,3
190,2,0,1,4
200,2,0,1,5
250,1,0,1,3
300,1,0,1,2
350,1,0,1,2
400,1,0,1,2
450,1,0,1,2
500,1,0,1,1
600,1,0,1,2
700,1,0,1,2
800,1,0,1,1
900,1,0,1,2
1000,1,0,1,1
2000,1,0,1,1
3000,1,0,1,1
4000,1,0,1,1
5000,1,0,1,1
6000,1,0,1,1
7000,1,0,1,1
8000,1,0,1,1
9000,1,0,1,1
10000,1,0,1,1
